"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"African Cats","7.5","Keith Scholey, Alastair Fothergill","Keith Scholey, John Truby, Owen Newman","61","Samuel L. Jackson, Patrick Stewart","2011-04-22","United States, United Kingdom","English","5000000","30857747","1 hour 29 minutes","United States"
"Outfoxed: Rupert Murdoch's War on Journalism","7.5","Robert Greenwald","Douglas Cheek, Walter Cronkite, Bob McChesney","58","Douglas Cheek, Walter Cronkite, Bob McChesney, Jeff Cohen, David Brock, Gene Kimmelman, Frank O'Donnell, David Burnett, Diana Winthrop, Ronald Reagan, Ted Kennedy, Rupert Murdoch, Roger Ailes, Larry Johnson, Jon Du Pre, Clara Frenk, Dave Korb, Av Westin","2004-10-06","United States","English","200000","461572","1 hour 15 minutes","Australia"
"The Substance","7.4","Coralie Fargeat","Coralie Fargeat","78","Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams, Oscar Lesage, Christian Erickson, Robin Greer, Tom Morton, Hugo Diego Garcia, Daniel Knight, Jonathon Carley, Jiselle Henderkott, Akil Wingate, Billy Bentley, Vincent Colombe, Lennard Ridsdale, Jordan Ford Silver","2024-09-20","United Kingdom, France, United States","English","17500000","55313333","2 hours 21 minutes","United Kingdom"
"Nocturnal Animals","7.4","Tom Ford","Tom Ford, Austin Wright","67","Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson, Isla Fisher, Ellie Bamber, Armie Hammer, Karl Glusman, Robert Aramayo, Laura Linney, Andrea Riseborough, Michael Sheen, Bobbi Salvör Menuez, Imogen Waterhouse, Franco Vega, Zawe Ashton, Evie Pree, Beth Ditto","2018-12-17","United States, China","English","22500000","30311857","1 hour 56 minutes","India"
"Predestination","7.4","Michael Spierig, Peter Spierig","Michael Spierig, Peter Spierig, Robert A. Heinlein","69","Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West, Christopher Kirby, Christopher Sommers, Kuni Hashimoto, Sara El-Yafi, Paul Moder, Grant Piro, Christopher Bunworth, Jamie Gleeson, Christina Tan, Dennis Coard, Milla Simmonds, Ruby Simmonds, Cate Wolfe, Ben Prendergast","2015-01-09","Australia, United States","English","5100000","4942449","1 hour 37 minutes","India"
"Scream","7.4","Wes Craven","Kevin Williamson","66","Neve Campbell, Courteney Cox, David Arquette, Skeet Ulrich, Drew Barrymore, Roger Jackson, Kevin Patrick Walls, David Booth, Carla Hatley, Lawrence Hecht, W. Earl Brown, Rose McGowan, Lois Saunders, Joseph Whipp, Matthew Lillard, Jamie Kennedy, Lisa Beach, Tony Kilbert","2021-12-21","United States","English","14000000","173046663","1 hour 51 minutes","India"
"Dracula","7.4","Francis Ford Coppola","Bram Stoker, James V. Hart","57","Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Richard E. Grant, Cary Elwes, Billy Campbell, Sadie Frost, Tom Waits, Monica Bellucci, Michaela Bercu, Florina Kendrick, Jay Robinson, I.M. Hobson, Laurie Franks, Maud Winchester, Octavian Cadia, Robert Getz","2018-03-16","United Kingdom, United States","English, Romanian, Greek, Bulgarian, Latin","40000000","215862692","2 hours 8 minutes","India"
"The Zone of Interest","7.4","Jonathan Glazer","Jonathan Glazer, Martin Amis","92","Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte, Nele Ahrensmeier, Lilli Falk, Anastazja Drobniak, Cecylia Pekala, Kalman Wilson, Medusa Knopf, Max Beck, Slava the Dog, Andrey Isaev, Julia Babiarz, Stephanie Petrowitz, Martyna Poznanski, Zuzanna Kobiela, Benjamin Utzerath","2024-03-01","United Kingdom, Poland, United States","German, Polish, Yiddish","15000000","52798026","1 hour 45 minutes","India"
"Harry Potter and the Chamber of Secrets","7.4","Chris Columbus","J.K. Rowling, Steve Kloves","63","Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Richard Griffiths, Fiona Shaw, Harry Melling, Toby Jones, Jim Norton, Veronica Clifford, James Phelps, Oliver Phelps, Julie Walters, Bonnie Wright, Mark Williams, Chris Rankin, Tom Felton, Jason Isaacs","2003-04-25","United Kingdom, United States","English, Latin","100000000","882546027","2 hours 41 minutes","India"
"Spider-Man","7.4","Sam Raimi","Stan Lee, Steve Ditko, David Koepp","73","Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons, Joe Manganiello, Gerry Becker, Bill Nunn, Jack Betts, Stanley Anderson, Ron Perkins, Michael Papajohn, K.K. Dodds, Ted Raimi, Bruce Campbell, Elizabeth Banks","2002-05-24","United States","English","139000000","825802095","2 hours 1 minute","India"
"How to Train Your Dragon: The Hidden World","7.4","Dean DeBlois","Dean DeBlois, Cressida Cowell","71","Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler, Craig Ferguson, Jonah Hill, Christopher Mintz-Plasse, Kristen Wiig, Kit Harington, Justin Rupple, Robin Atkin Downes, Kieron Elliott, Julia Emelin, Gideon Emery, Ashley Jensen, AJ Kane, Ólafur Darri Ólafsson","2019-03-21","United States, Japan","English","129000000","539987993","1 hour 44 minutes","India"
"John Wick","7.4","Chad Stahelski","Derek Kolstad","68","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Moynahan, John Leguizamo, Ian McShane, Bridget Regan, Lance Reddick, Keith Jardine, Tait Fletcher, Kazy Tauginas, Alexander Frekey","2014-11-14","United States","English, Russian, Hungarian","20000000","86085139","1 hour 41 minutes","India"
"Me Before You","7.4","Thea Sharrock","Jojo Moyes","51","Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance, Vanessa Kirby, Eileen Dunwoodie, Pablo Raybould, Gabrielle Downey, Henri Charles, Samantha Spiro, Brendan Coyle, Jenna Coleman, Alan Breck, Matthew Lewis, Muzz Khan, Stephen Peacocke, Ben Lloyd-Hughes, Richard Goulding","2016-06-03","United States","English, French","20000000","208445075","1 hour 50 minutes","India"
"Ready Player One","7.4","Steven Spielberg","Zak Penn, Ernest Cline","64","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Philip Zhao, Win Morisaki, Hannah John-Kamen, Ralph Ineson, Susan Lynch, Clare Higgins, Laurence Spellman, Perdita Weeks, Joel MacCormack, Kit Connor, Leo Heller","2018-03-30","United States, India, Singapore, Canada, United Kingdom, Japan, Australia","English, Japanese","175000000","607874422","2 hours 20 minutes","India"
"Frozen","7.4","Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen, Chris Buck","75","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Alan Tudyk, Ciarán Hinds, Chris Williams, Stephen J. Anderson, Maia Wilson, Edie McClurg, Robert Pine, Maurice LaMarche, Livvy Stubenrauch, Eva Bella, Spencer Lacey Ganus, Jesse Corti, Jeffrey Marcus","2013-11-29","United States","English","150000000","1306450154","1 hour 42 minutes","India"
"The Lighthouse","7.4","Robert Eggers","Robert Eggers, Max Eggers","83","Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes, Kyla Nicolle, Shaun Clarke, Pierre Richard, Preston Hudson, Jeffrey Cruts, Sully Seagull","2019-10-25","Canada, United States","English","11000000","18125187","1 hour 49 minutes","Canada"
"Crazy, Stupid, Love.","7.4","Glenn Ficarra, John Requa","Dan Fogelman","68","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone, Lio Tipton, Jonah Bobo, Joey King, Marisa Tomei, Beth Littleford, John Carroll Lynch, Kevin Bacon, Liza Lapira, Josh Groban, Mekia Cox, Julianna Guill, Zayne Emory, Crystal Reed, Joanne Brooks","2011-09-16","United States","English","50000000","145086643","1 hour 58 minutes","India"
"The Rocky Horror Picture Show","7.4","Jim Sharman","Richard O'Brien, Jim Sharman","65","Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien, Patricia Quinn, Nell Campbell, Jonathan Adams, Peter Hinwood, Meat Loaf, Charles Gray, Jeremy Newson, Hilary Farr, Pierre Bedenes, Christopher Biggins, Gaye Brown, Ishaq Bux, Stephen Calcutt, Hugh Cecil","1975-12-18","United Kingdom, United States","English","1200000","115791236","1 hour 40 minutes","Australia"
"Superman","7.4","Richard Donner","Jerry Siegel, Joe Shuster, Mario Puzo","82","Christopher Reeve, Margot Kidder, Gene Hackman, Marlon Brando, Ned Beatty, Jackie Cooper, Glenn Ford, Trevor Howard, Jack O'Halloran, Valerie Perrine, Maria Schell, Terence Stamp, Phyllis Thaxter, Susannah York, Jeff East, Marc McClure, Sarah Douglas, Harry Andrews","1978-12-25","United States, United Kingdom, Switzerland, Panama","English","55000000","300478449","2 hours 23 minutes","India"
"Lady Bird","7.4","Greta Gerwig","Greta Gerwig","93","Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen McKinley Henderson, Odeya Rush, Jordan Rodrigues, Marielle Scott, John Karna, Jake McDorman, Bayne Gibby, Laura Marano, Marietta DePrima, Daniel Zovatto, Kristen Cloke","2018-03-02","United States","English, Spanish","10000000","78987280","1 hour 34 minutes","India"
"Nobody","7.4","Ilya Naishuller","Derek Kolstad","64","Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd, Michael Ironside, Colin Salmon, RZA, Billy MacLellan, Araya Mengesha, Gage Munroe, Paisley Cadorath, Aleksandr Pal, Humberly González, Edsson Morales, J.P. Manoux, Adrian McLean, Ilya Naishuller, Sergey Shnurov","2021-08-27","United States, Japan, China","English, Russian, Spanish","16000000","57510518","1 hour 32 minutes","India"
"Spider-Man: Homecoming","7.4","Jon Watts","Jonathan Goldstein, John Francis Daley, Jon Watts","73","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Abraham Attah, Hannibal Buress, Kenneth Choi, Selenis Leyva, Angourie Rice","2017-07-07","United States","English, Spanish","175000000","880944210","2 hours 13 minutes","India"
"The Nice Guys","7.4","Shane Black","Shane Black, Anthony Bagarozzi","70","Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Yaya DaCosta, Keith David, Beau Knapp, Lois Smith, Murielle Telio, Gil Gerard, Daisy Tahan, Kim Basinger, Jack Kilmer, Lance Valentine Butler, Ty Simpkins, Cayla Brady, Tammi Arender","2016-06-03","United States","English, German","50000000","71261763","1 hour 56 minutes","India"
"Juno","7.4","Jason Reitman","Diablo Cody","81","Elliot Page, Michael Cera, Jennifer Garner, Jason Bateman, Allison Janney, J.K. Simmons, Olivia Thirlby, Eileen Pedde, Rainn Wilson, Daniel Clark, Darla Fay, Aman Johal, Valerie Tian, Emily Perkins, Kaaren de Zilva, Steven Christopher Parker, Candice King, Sierra Pitkin","2013-02-26","United States","English, Spanish","7500000","232373066","1 hour 36 minutes","India"
"Pirates of the Caribbean: Dead Man's Chest","7.4","Gore Verbinski","Ted Elliott, Terry Rossio, Stuart Beattie","53","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport, Bill Nighy, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Kevin McNally, David Bailie, Stellan Skarsgård, Tom Hollander, Naomie Harris, Martin Klebba, David Schofield, Alex Norton, Lauren Maher, Nej Adamson","2006-08-25","United States","English, Turkish, Greek, Mandarin, French","225000000","1066179747","2 hours 31 minutes","India"
"A Nightmare on Elm Street","7.4","Wes Craven","Wes Craven","76","Heather Langenkamp, Johnny Depp, Robert Englund, John Saxon, Ronee Blakley, Amanda Wyss, Jsu Garcia, Charles Fleischer, Joseph Whipp, Lin Shaye, Joe Unger, Mimi Craven, Jack Shea, Ed Call, Sandy Lipton, David Andrews, Jeff Levine, Donna Woodrum",\N,"United States","English","1800000","25858216","1 hour 31 minutes","India"
"Zero Dark Thirty","7.4","Kathryn Bigelow","Mark Boal","95","Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong, Jason Clarke, Reda Kateb, Kyle Chandler, Jennifer Ehle, Harold Perrineau, Jeremy Strong, J.J. Kandel, Wahab Sheikh, Alexander Karim, Nabil Elouahabi, Aymen Hamdouchi, Simon Abkarian, Ali Marhyar, Parker Sawyers","2013-02-15","United States, India, Jordan","English, Arabic, Urdu, Pashtu, French","40000000","132820716","2 hours 37 minutes","India"
"Tár","7.4","Todd Field","Todd Field","93","Cate Blanchett, Noémie Merlant, Nina Hoss, Sophie Kauer, Adam Gopnik, Marc-Martin Straub, Egon Brandstetter, Ylva Pollak, Paula Först, Sylvia Flote, Sydney Lemmon, Mark Strong, Nicolas Hopchet, Zethphan D. Smith-Gneist, Kitty Watson, Alec Baldwin, Jessica Hansen, Mila Bogojevic",\N,"United States","English, German, Filipino, French","25000000","29048571","2 hours 38 minutes","India"
"The Texas Chain Saw Massacre","7.4","Tobe Hooper","Kim Henkel, Tobe Hooper","91","Marilyn Burns, Edwin Neal, Allen Danziger, Paul A. Partain, William Vail, Teri McMinn, Jim Siedow, Gunnar Hansen, John Dugan, Robert Courtin, William Creamer, John Henry Faulk, Jerry Green, Ed Guinn, Joe Bill Hogan, Perry Lorenz, John Larroquette, Levie Isaacks","1974-10-11","United States","English","140000","30920518","1 hour 23 minutes","United States"
"Ordinary Angels","7.4","Jon Gunn","Meg Tilly, Kelly Fremon Craig","57","Hilary Swank, Alan Ritchson, Emily Mitchell, Skywalker Hughes, Nancy Travis, Tamala Jones, Don Mike, Ryan Allen, Drew Powell, Andrea del Campo, Dempsey Bryk, Stephanie Sy, Curtis Moore, Erik Athavale, Neil Shah, David Lawrence Brown, Cliff Sumter, Darcy Fehr","2024-02-23","United States","English","13000000","20571534","1 hour 58 minutes","United States"
"Erin Brockovich","7.4","Steven Soderbergh","Susannah Grant","73","Julia Roberts, Albert Finney, David Brisbin, Dawn Didawick, Valente Rodriguez, Conchata Ferrell, George Rocky Sullivan, Pat Skipper, Jack Gill, Irene Olga López, Emily Marks, Julie Marks, Scotty Leavenworth, Gemmenne de la Peña, Erin Brockovich-Ellis, Adilah Barnes, Irina V. Passmoore, Aaron Eckhart","2016-08-22","United States","English","52000000","256271286","2 hours 11 minutes","India"
"Looper","7.4","Rian Johnson","Rian Johnson","84","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano, Noah Segan, Piper Perabo, Jeff Daniels, Pierce Gagnon, Qing Xu, Tracie Thoms, Frank Brennan, Garret Dillahunt, Nick Gomez, Marcus Hester, Jon Eyez, Kevin Stillwell, Thirl Haston, James Landry Hébert","2012-10-12","United States, China","English, French","30000000","176506819","1 hour 59 minutes","India"
"Beautiful Boy","7.4","Felix van Groeningen","Luke Davies, Felix van Groeningen, David Sheff","62","Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull, Christian Convery, Timothée Chalamet, Amy Aquino, Carlton Wilborn, Stefanie Scott, Marypat Farrell, Timothy Hutton, Amy Forsyth, Kue Lawrence, Brandon James Cienfuegos, Cheska Corona, Mandeiya Flory, Martha T. Newman, Minerva García","2018-10-25","United States","English","25000000","31749905","2 hours","Israel"
"A History of Violence","7.4","David Cronenberg","John Wagner, Vince Locke, Josh Olson","82","Viggo Mortensen, Maria Bello, Ed Harris, William Hurt, Ashton Holmes, Peter MacNeill, Stephen McHattie, Greg Bryk, Kyle Schmid, Sumela Kay, Gerry Quigley, Deborah Drakeford, Heidi Hayes, Aidan Devine, Bill MacDonald, Michelle McCree, Ian Matthews, R.D. Reid","2006-03-09","United States, Canada, United Kingdom, Germany","English","32000000","61385065","1 hour 36 minutes","India"
"Carrie","7.4","Brian De Palma","Stephen King, Lawrence D. Cohen","86","Sissy Spacek, Piper Laurie, Amy Irving, John Travolta, William Katt, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North, Cindy Daly, Deirdre Berthrong, Anson Downes","1976-11-16","United States","English","1800000","33861395","1 hour 38 minutes","United States"
"Uncut Gems","7.4","Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie, Benny Safdie","93","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo, Sun Zhi Hua-Hilton, Liang Wei-Hui-Duncan, Sunny Wu Jin Zahao, Deneke Muhugeta, Habtunu Africho, Warren Finkelstein, Keith William Richards, Tommy Kominik, LaKeith Stanfield, Maksud Agadjani, Ca$h Out, Andrea Linsky, Roman Persits, Pom Klementieff","2020-01-31","United States","English, Hebrew","19000000","50023780","2 hours 15 minutes","India"
"Mission: Impossible - Ghost Protocol","7.4","Brad Bird","Bruce Geller, Josh Appelbaum, André Nemec","73","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton, Michael Nyqvist, Vladimir Mashkov, Samuli Edelmann, Ivan Shvedoff, Anil Kapoor, Léa Seydoux, Josh Holloway, Pavel Kríz, Miraj Grbic, Ilia Volok, Goran Navojec, Pavel Bezdek, Ladislav Beran, Jan Filipenský","2011-12-16","United States, United Arab Emirates, Russia, Canada, Czech Republic, India","English, Russian, French, Arabic, Swedish","145000000","694713380","2 hours 12 minutes","India"
"Terms of Endearment","7.4","James L. Brooks","Larry McMurtry, James L. Brooks","79","Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito, Jeff Daniels, John Lithgow, Lisa Hart Carroll, Betty King, Huckleberry Fox, Troy Bishop, Shane Serwin, Megan Morris, Tara Yeakey, Norman Bennett, Jennifer Josey, Kate Charleson, Tom Wees, Paul Menzel","1983-12-09","United States","English","8000000","108423749","2 hours 12 minutes","United States"
"National Lampoon's Animal House","7.4","John Landis","Harold Ramis, Douglas Kenney, Chris Miller","79","John Belushi, Karen Allen, Tom Hulce, Stephen Furst, Mark Metcalf, Mary Louise Weller, Martha Smith, James Daughton, Kevin Bacon, Douglas Kenney, Chris Miller, Bruce Bonnheim, James Widdoes, Tim Matheson, Peter Riegert, Bruce McGill, Joshua Daniel, Donald Sutherland","1978-07-28","United States","English, Italian","3000000","141607219","1 hour 49 minutes","United States"
"Cloud Atlas","7.4","Tom Tykwer, Lana Wachowski, Lilly Wachowski","David Mitchell, Lana Wachowski, Tom Tykwer","55","Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving, Jim Broadbent, Jim Sturgess, Bae Doona, Ben Whishaw, Keith David, James D'Arcy, Xun Zhou, David Gyasi, Susan Sarandon, Robert Fyfe, Martin Wuttke, Robin Morrissey, Brody Nicholas Lee, Ian van Temperley","2012-10-26","United States, Germany, Hong Kong, Singapore, China, United Kingdom, Spain","English, Spanish, Ukrainian, Korean","102000000","130516424","2 hours 52 minutes","India"
"Shang-Chi and the Legend of the Ten Rings","7.4","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","71","Simu Liu, Awkwafina, Tony Leung Chiu-wai, Ben Kingsley, Meng'er Zhang, Fala Chen, Michelle Yeoh, Wah Yuen, Florian Munteanu, Andy Le, Paul W. He, Jayden Zhang, Elodie Fong, Arnold Sun, Stephanie Hsu, Kunal Dudheker, Tsai Chin, Jodi Long","2021-09-03","United States","English, Mandarin","200000000","432243292","2 hours 12 minutes","India"
"The Hobbit: The Battle of the Five Armies","7.4","Peter Jackson","Fran Walsh, Philippa Boyens, Peter Jackson","59","Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner, John Callen, Peter Hambleton, Jed Brophy, Mark Hadlow, Adam Brown, Orlando Bloom, Evangeline Lilly","2014-12-12","New Zealand, United States","English","250000000","962253946","2 hours 24 minutes","India"
"X2","7.4","Bryan Singer","Zak Penn, David Hayter, Bryan Singer","68","Patrick Stewart, Hugh Jackman, Halle Berry, Ian McKellen, Famke Janssen, James Marsden, Anna Paquin, Rebecca Romijn, Brian Cox, Alan Cumming, Bruce Davison, Aaron Stanford, Shawn Ashmore, Kelly Hu, Katie Stuart, Kea Wong, Cotter Smith, Chiara Zanni","2003-05-09","Canada, United States","English, German, Italian, Spanish","110000000","407711549","2 hours 14 minutes","India"
"Air","7.4","Ben Affleck","Alex Convery","73","Matt Damon, Jason Bateman, Ben Affleck, Chris Messina, Viola Davis, Julius Tennon, Damian Delano Young, Chris Tucker, Matthew Maher, Gustaf Skarsgård, Barbara Sukowa, Jay Mohr, Joel Gretsch, Michael O'Neill, Marlon Wayans, Asanté Deshon, Billy Smith, Al Madrigal","2023-04-05","United States","English","90000000","90060106","1 hour 51 minutes","India"
"Mission: Impossible - Rogue Nation","7.4","Christopher McQuarrie","Bruce Geller, Christopher McQuarrie, Drew Pearce","75","Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg, Ving Rhames, Sean Harris, Simon McBurney, Jingchu Zhang, Tom Hollander, Jens Hultén, Alec Baldwin, Mateo Rufino, Fernando Abadie, Alec Utgoff, Hermione Corfield, Nigel Barber, William Roberts, Patrick Poletti","2015-08-07","United States, China, United Kingdom, Austria, Morocco, Hong Kong","English, Swedish, German, Russian","150000000","682716636","2 hours 11 minutes","India"
"Galaxy Quest","7.4","Dean Parisot","David Howard, Robert Gordon","70","Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub, Sam Rockwell, Daryl Mitchell, Enrico Colantoni, Robin Sachs, Patrick Breen, Missi Pyle, Jed Rees, Justin Long, Jeremy Howard, Kaitlin Cullum, Jonathan Feyer, Corbin Bleu, Wayne Pére, Sam Lloyd","1999-12-25","United States","English","45000000","90685205","1 hour 42 minutes","United States"
"Mud","7.4","Jeff Nichols","Jeff Nichols","76","Matthew McConaughey, Tye Sheridan, Jacob Lofland, Sam Shepard, Reese Witherspoon, Ray McKinnon, Sarah Paulson, Michael Shannon, Joe Don Baker, Paul Sparks, Bonnie Sturdivant, Stuart Greer, John Ward Jr., Kristy Barrington, Johnny Cheek, Kenneth Hill, Michael Abbott Jr., Earnest McCoy","2013-05-03","United States","English","10000000","32613173","2 hours 10 minutes","India"
"John Wick: Chapter 3 - Parabellum","7.4","Chad Stahelski","Derek Kolstad, Shay Hatten, Chris Collins","73","Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Tobias Segal, Anjelica Huston, Saïd Taghmaoui, Jerome Flynn, Randall Duk Kim, Margaret Daly, Robin Lord Taylor, Susan Blommaert, Unity Phelan, Jason Mantzoukas, Andrea Sooch","2019-05-17","United States, Morocco, Ukraine, Italy","English, Russian, Japanese, Indonesian, Mandarin, Italian, Arabic, Latin","75000000","328349908","2 hours 10 minutes","India"
"Moonlight","7.4","Barry Jenkins","Barry Jenkins, Tarell Alvin McCraney","99","Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert, Shariff Earp, Duan Sanderson, Janelle Monáe, Jaden Piner, Herman Caheej McGloun, Kamal Ani-Bellow, Keomi Givens, Eddie Blanchard, Rudi Goblen, Ashton Sanders, Edson Jean, Patrick Decile, Herveline Moncion, Jharrel Jerome","2017-02-17","United States","English","4000000","65172611","1 hour 51 minutes","India"
"The Rock","7.4","Michael Bay","David Weisberg, Douglas Cook, Mark Rosner","58","Sean Connery, Nicolas Cage, Ed Harris, John Spencer, David Morse, William Forsythe, Michael Biehn, Vanessa Marcil, John C. McGinley, Gregory Sporleder, Tony Todd, Bokeem Woodbine, Jim Maniaci, Greg Collins, Brendan Kelly, Steve Harris, Danny Nucci, Claire Forlani","2020-03-16","United States","English","75000000","335062621","2 hours 16 minutes","India"
"The English Patient","7.4","Anthony Minghella","Michael Ondaatje, Anthony Minghella","86","Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas, Naveen Andrews, Colin Firth, Julian Wadham, Jürgen Prochnow, Kevin Whately, Clive Merrison, Nino Castelnuovo, Hichem Rostom, Peter Rühring, Geordie Johnson, Torri Higginson, Liisa Repo-Martell, Raymond Coulthard, Philip Whitchurch","2000-06-02","United States, United Kingdom","English, German, Italian, Arabic","27000000","231976425","2 hours 42 minutes","India"
"Jacob's Ladder","7.4","Adrian Lyne","Bruce Joel Rubin","62","Tim Robbins, Elizabeth Peña, Danny Aiello, Matt Craven, Pruitt Taylor Vince, Jason Alexander, Patricia Kalember, Eriq La Salle, Ving Rhames, Brian Tarantina, Anthony Alessandro, Brent Hinkley, S. Epatha Merkerson, Suzanne Shepherd, Doug Barron, Jan Saint, Kisha Skinner, Dion Simmons","1990-11-02","United States","English","25000000","26118851","1 hour 53 minutes","United States"
"Darkest Hour","7.4","Joe Wright","Anthony McCarten","75","Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn, Ronald Pickup, Stephen Dillane, Nicholas Jones, Samuel West, David Schofield, Richard Lumsden, Malcolm Storry, Hilton McRae, Benjamin Whitrow, Joe Armstrong, Adrian Rawlins, David Bamber, Paul Leonard, David Strathairn","2018-01-19","United Kingdom, United States, China","English, French, German, Italian","30000000","150847274","2 hours 5 minutes","India"
"Spider-Man: Far from Home","7.4","Jon Watts","Chris McKenna, Erik Sommers, Stan Lee","69","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Martin Starr, J.B. Smoove, Jorge Lendeborg Jr., Cobie Smulders, Numan Acar, Zach Barack, Zoha Rahman, Yasmin Mwanza","2019-07-05","United States, Czech Republic, Australia, Canada, Italy","English, Italian, Czech","160000000","1132705055","2 hours 9 minutes","India"
"Tyuhvhj","7.4","Robert Altman","Richard Hooker, Ring Lardner Jr.","80","Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall, Roger Bowen, Rene Auberjonois, David Arkin, Jo Ann Pflug, Gary Burghoff, Fred Williamson, Michael Murphy, Indus Arthur, Ken Prymus, Bobby Troup, Kim Atwood, Timothy Brown, John Schuck","1970-03-18","United States","English, Japanese, Korean, Latin","3500000","81600000","1 hour 56 minutes","United States"
"The Talented Mr. Ripley","7.4","Anthony Minghella","Patricia Highsmith, Anthony Minghella","76","Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett, Philip Seymour Hoffman, Jack Davenport, James Rebhorn, Sergio Rubini, Philip Baker Hall, Celia Weston, Fiorello, Stefania Rocca, Ivano Marescotti, Anna Longhi, Alessandro Fabrizi, Lisa Eichhorn, Gretchen Egolf, Jack Willis","2021-07-01","United States","English, Italian","40000000","138031432","2 hours 19 minutes","India"
"Shrek 2","7.4","Andrew Adamson, Kelly Asbury, Conrad Vernon","William Steig, Andrew Adamson, Joe Stillman","75","Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas, John Cleese, Rupert Everett, Jennifer Saunders, Aron Warner, Kelly Asbury, Cody Cameron, Conrad Vernon, Christopher Knights, David P. Smith, Mark Moseley, Kelly Cooney Cilella, Wendy Bilanski, Larry King","2004-08-20","United States","English","150000000","932406549","1 hour 33 minutes","India"
"John Wick: Chapter 2","7.4","Chad Stahelski","Derek Kolstad","75","Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose, Common, Claudia Gerini, Lance Reddick, Laurence Fishburne, Tobias Segal, John Leguizamo, Bridget Moynahan, Thomas Sadoski, Eric Frandsen, David Patrick Kelly, Perry Yung, Franco Nero, Youma Diakite, Peter Serafinowicz","2017-02-17","United States, Italy, Hong Kong, Canada","English, Italian, Russian, Sign Languages, Hebrew","40000000","174348632","2 hours 2 minutes","India"
