"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"Fantastic Mr. Fox","7.9","Wes Anderson","Roald Dahl, Wes Anderson, Noah Baumbach","83","George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman, Wallace Wolodarsky, Eric Chase Anderson, Michael Gambon, Willem Dafoe, Owen Wilson, Jarvis Cocker, Wes Anderson, Karen Duffy, Robin Hurlstone, Hugo Guinness, Helen McCrory, Roman Coppola, Juman Malouf, Jeremy Dawson","2014-03-21","United States","English, French","40000000","58091644","1 hour 27 minutes","India"
"X-Men: Days of Future Past","7.9","Bryan Singer","Simon Kinberg, Jane Goldman, Matthew Vaughn","75","Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Nicholas Hoult, Anna Paquin, Elliot Page, Peter Dinklage, Shawn Ashmore, Omar Sy, Evan Peters, Josh Helman, Daniel Cudmore, Bingbing Fan, Adan Canto","2014-05-23","United Kingdom, United States, Canada","English, Vietnamese, French","200000000","746045700","2 hours 12 minutes","India"
"Spartacus","7.9","Stanley Kubrick, Anthony Mann","Dalton Trumbo, Howard Fast, Peter Ustinov","87","Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Peter Ustinov, John Gavin, Nina Foch, John Ireland, Herbert Lom, John Dall, Charles McGraw, Joanna Barnes, Harold J. Stone, Woody Strode, Peter Brocco, Paul Lambert, Robert J. Wilke, Nick Dennis","1961-10-17","United States","English","12000000","1846975","3 hours 17 minutes","India"
"Wonder","7.9","Stephen Chbosky","Stephen Chbosky, Steve Conrad, Jack Thorne","66","Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts, Mark Dozlaw, Rukiya Bernard, Jennifer March, Mandy Patinkin, Noah Jupe, Bryce Gheisar, Elle McKinnon, Daveed Diggs, Ty Consiglio, Kyle Breitkopf, James A Hughes, J. Douglas Stewart, Millie Davis, Ali Liebert","2017-12-01","United States, Hong Kong, Canada","English","20000000","315025930","1 hour 53 minutes","India"
"Marriage Story","7.9","Noah Baumbach","Noah Baumbach","94","Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson, Wallace Shawn, Matthew Maher, Eric Berryman, Mickey Sumner, David Turner, Gideon Glick, Jasmine Cephas Jones, Motell Gyn Foster, Raymond J. Lee, Mary Wiseman, Pete Simpson, Irene Choi, Matthew Shear, Becca Blackwell","2019-12-06","United Kingdom, United States","English, Spanish","18600000","333686","2 hours 17 minutes","India"
"The Blues Brothers","7.9","John Landis","Dan Aykroyd, John Landis","60","John Belushi, Dan Aykroyd, Cab Calloway, John Candy, Tom Erhart, Gerald Walling, Walter Levine, Frank Oz, Kathleen Freeman, Alonzo Atkins, James Brown, Chaka Khan, Southern California Community Choir, Armand Cerami, Steven Williams, Stephen Bishop, John Landis, Kristi Oleson","1980-06-20","United States","English","27500000","115229890","2 hours 13 minutes","United States"
"Dallas Buyers Club","7.9","Jean-Marc Vallée","Craig Borten, Melisa Wallack","77","Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn, Denis O'Hare, Michael O'Neill, Dallas Roberts, Griffin Dunne, Kevin Rankin, Donna Duplantier, Deneen Tyler, JD Evermore, Ian Casselberry, Noelle Wilcox, Bradford Cox, Rick Espaillat, Lawrence Turner, Lucius Falick","2014-02-28","United States","English, Japanese","5000000","55198285","1 hour 57 minutes","India"
"District 9","7.9","Neill Blomkamp","Neill Blomkamp, Terri Tatchell","81","Sharlto Copley, David James, Jason Cope, Vanessa Haywood, Mandla Gaduka, Kenneth Nkosi, Eugene Khumbanyiwa, Louis Minnaar, William Allen Young, Nat Boltt, Sylvaine Strike, Elizabeth Mkandawie, John Sumner, Greg Melvill-Smith, Nick Blake, Morena Busa Sesatsa, Themba Nkosi, Mzwandile Nqoba","2009-09-11","South Africa, United States, New Zealand, Canada","English, Nyanja, Afrikaans, Zulu, Xhosa, Sotho","30000000","210888950","1 hour 52 minutes","India"
"Spinal Tap","7.9","Rob Reiner","Christopher Guest, Michael McKean, Harry Shearer","92","Rob Reiner, Michael McKean, Christopher Guest, Kimberly Stringer, Chazz Dominguez, Shari Hall, R.J. Parnell, David Kaff, Tony Hendra, Harry Shearer, Bruno Kirby, Jean Cromie, Patrick Maher, Ed Begley Jr., Danny Kortchmar, Fran Drescher, Patrick Macnee, Memo Vera","1984-03-02","United States","English, Japanese","2500000","4738481","1 hour 22 minutes","United States"
"Toy Story 2","7.9","John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter, Pete Docter, Ash Brannon","88","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, Wayne Knight, John Morris, Laurie Metcalf, Estelle Harris, R. Lee Ermey, Jodi Benson, Jonathan Harris, Joe Ranft, Andrew Stanton","2000-05-19","United States","English","90000000","497375381","1 hour 32 minutes","India"
"The Maltese Falcon","7.9","John Huston","John Huston, Dashiell Hammett","97","Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet, Ward Bond, Jerome Cowan, Elisha Cook Jr., James Burke, Murray Alper, John Hamilton, Charles Drake, Chester Gan, Creighton Hale, Robert Homans, William Hopper","1941-10-18","United States","English","375000","39387","1 hour 40 minutes","United States"
"Boyhood","7.9","Richard Linklater","Richard Linklater","100","Ellar Coltrane, Patricia Arquette, Ethan Hawke, Elijah Smith, Lorelei Linklater, Steven Chester Prince, Bonnie Cross, Sydney Orta, Libby Villari, Marco Perella, Jamie Howard, Andrew Villarreal, Shane Graham, Tess Allen, Ryan Power, Sharee Fowler, Mark Finn, Charlie Sexton","2014-08-15","United States","English, Spanish, Ukrainian, Arabic","4000000","48137666","2 hours 45 minutes","United States"
"Heatwave","7.9","Spike Lee","Spike Lee","93","Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Robin Harris, Joie Lee, Miguel Sandoval, Rick Aiello, John Savage, Samuel L. Jackson, Rosie Perez, Roger Guenveur Smith","1989-07-21","United States","English, Italian, Spanish, Korean","6500000","37295445","2 hours","United States"
"Life of Pi","7.9","Ang Lee","Yann Martel, David Magee","79","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu, Ayush Tandon, Gautam Belur, Ayaan Khan, Mohd. Abbas Khaleeli, Vibish Sivakumar, Rafe Spall, Gérard Depardieu, James Saito, Jun Naito, Andrea Di Stefano, Shravanthi Sainath, Elie Alouf, Padmini Ramachandran, T.M. Karthik Srinivasan","2012-11-23","United States, Taiwan, United Kingdom, Canada, India, France","English, Hindi, Japanese, French","120000000","609016565","2 hours 7 minutes","India"
"Carlito's Way","7.9","Brian De Palma","Edwin Torres, David Koepp","66","Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo, Ingrid Rogers, Luis Guzmán, James Rebhorn, Joseph Siravo, Viggo Mortensen, Richard Foronjy, Jorge Porcel, Frank Minucci, Adrian Pasdar, John Ortiz, Ángel Salazar, Al Israel, Rick Aviles, Jaime Sánchez","1993-11-12","United States","English, Spanish, French","30000000","63848322","2 hours 24 minutes","United States"
"The Ten Commandments","7.9","Cecil B. DeMille","Dorothy Clarke Wilson, J.H. Ingraham, A.E. Southon",\N,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Yvonne De Carlo, Debra Paget, John Derek, Cedric Hardwicke, Nina Foch, Martha Scott, Judith Anderson, Vincent Price, John Carradine, Olive Deering, Douglass Dumbrille, Frank DeKova, Henry Wilcoxon, Eduard Franz","1956-10-05","United States","English","13282712","65500755","3 hours 40 minutes","United States"
"Zimtor the Unspongeable.","7.9","David Lean","Boris Pasternak, Robert Bolt","69","Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger, Alec Guinness, Tom Courtenay, Siobhan McKenna, Ralph Richardson, Rita Tushingham, Jeffrey Rockland, Tarek Sharif, Bernard Kay, Klaus Kinski, Gérard Tichy, Noel Willman, Geoffrey Keen, Adrienne Corri, Jack MacGowran","1965-12-31","Italy, United Kingdom, United States","English, Russian, French","11000000","111926200","3 hours 17 minutes","United States"
